loan_id,borrower_id,kaggle_truth_label,expected_decision,router_manager_decision,income_vote,fraud_vote,credit_vote,compliance_vote,l3_disagreement,credit_manager_winner,credit_manager_scores,compliance_manager_winner,compliance_manager_scores,l2_managers_disagree,l1_final_decision,l1_borda_scores,l1_rank_assignments,strict_final_correct,risk_safe_correct
1,B001,good,approve,approve,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
2,B002,bad,reject,approve,reject,refer,refer,unknown,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,True
3,B003,good,approve,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
4,B004,good,approve,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
5,B005,bad,reject,refer,refer,reject,approve,refer,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,True
6,B006,good,approve,refer,approve,refer,refer,refer,True,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
7,B007,good,approve,approve,approve,refer,approve,refer,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
8,B008,good,approve,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
9,B009,good,approve,approve,approve,refer,approve,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
10,B010,bad,reject,approve,refer,approve,approve,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
11,B011,bad,reject,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,True
12,B012,bad,reject,refer,reject,refer,approve,refer,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,True
13,B013,good,approve,approve,reject,refer,refer,approve,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
14,B014,bad,reject,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,True
15,B015,good,approve,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
16,B016,bad,reject,approve,approve,refer,approve,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
17,B017,good,approve,refer,reject,refer,unknown,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
18,B018,good,approve,refer,reject,refer,reject,refer,True,refer,"{""approve"": 1, ""refer"": 4, ""reject"": 4}",refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
19,B019,bad,reject,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,True
20,B020,good,approve,approve,reject,refer,approve,approve,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
21,B021,good,approve,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
22,B022,good,approve,approve,approve,refer,approve,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
23,B023,good,approve,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
24,B024,good,approve,approve,approve,refer,approve,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
25,B025,good,approve,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
26,B026,good,approve,approve,reject,refer,approve,approve,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
27,B027,good,approve,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
28,B028,good,approve,approve,approve,approve,approve,approve,False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
29,B029,good,approve,approve,approve,refer,approve,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
30,B030,bad,reject,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,True
31,B031,good,approve,approve,reject,approve,approve,refer,True,approve,"{""approve"": 4, ""refer"": 3, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
32,B032,good,approve,approve,reject,refer,approve,refer,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
33,B033,good,approve,approve,approve,approve,approve,approve,False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
34,B034,good,approve,refer,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
35,B035,good,approve,approve,approve,approve,approve,approve,False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
36,B036,bad,reject,approve,refer,refer,approve,approve,True,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
37,B037,good,approve,approve,unknown,refer,refer,refer,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
38,B038,bad,reject,approve,refer,refer,approve,approve,True,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
39,B039,good,approve,approve,approve,approve,approve,approve,False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
40,B040,good,approve,approve,approve,approve,refer,approve,True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
41,B041,good,approve,approve,reject,refer,approve,approve,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
42,B042,good,approve,approve,approve,approve,approve,approve,False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
43,B043,good,approve,approve,reject,refer,approve,refer,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
44,B044,good,approve,approve,reject,refer,refer,refer,True,refer,"{""approve"": 2, ""refer"": 5, ""reject"": 2}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
45,B045,bad,reject,approve,refer,refer,refer,approve,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,True
46,B046,good,approve,refer,unknown,unknown,refer,refer,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
47,B047,good,approve,approve,reject,refer,approve,approve,True,refer,"{""approve"": 3, ""refer"": 4, ""reject"": 2}",approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}",True,approve,"{""approve"": 5, ""refer"": 4, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
48,B048,good,approve,approve,unknown,refer,refer,approve,True,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}",False,refer,"{""approve"": 4, ""refer"": 5, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",False,False
49,B049,good,approve,refer,refer,refer,refer,refer,False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}",False,refer,"{""approve"": 3, ""refer"": 6, ""reject"": 0}","{""CreditManager"": [""refer"", ""approve"", ""reject""], ""ComplianceManager"": [""refer"", ""approve"", ""reject""], ""RouterManager"": [""refer"", ""approve"", ""reject""]}",False,False
50,B050,good,approve,approve,reject,approve,approve,approve,True,approve,"{""approve"": 4, ""refer"": 3, ""reject"": 2}",approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}",False,approve,"{""approve"": 6, ""refer"": 3, ""reject"": 0}","{""CreditManager"": [""approve"", ""refer"", ""reject""], ""ComplianceManager"": [""approve"", ""refer"", ""reject""], ""RouterManager"": [""approve"", ""refer"", ""reject""]}",True,True
